name,num_threads,status,cpu_percent,create_time,pid,memory_percent,timestamp,system_cpu,system_memory,cpu_user_time,cpu_system_time,mem_rss,mem_vms,nice,ppid,read_speed,write_speed,record_id
svchost.exe,3,running,0,1763091530.0155067,15136,0.10037716445121378,1763091978.3984332,9,52.8,0.046875,0.078125,16855040,3055616,32,1328,0,0,0_15136
Code.exe,25,running,0,1763091700.6134589,15184,4.599762217108367,1763091978.3984332,9,52.8,11.265625,1.078125,772378624,775413760,32,1220,0,0,0_15184
Code.exe,23,running,0,1763091700.5450077,15704,0.7082261464584546,1763091978.3984332,9,52.8,16.265625,8.3125,118923264,87613440,32,1220,0,0,0_15704
smartscreen.exe,5,running,0,1763091426.2352536,15740,0.080887163,1763091978.3984332,9,52.8,0,0.015625,13582336,2994176,32,1572,0,0,0_15740
chrome.exe,13,running,0,1763091790.4193456,15996,0.19272903434484567,1763091978.3984332,9,52.8,0.0625,0.03125,32362496,14221312,64,8736,0,0,0_15996
Code.exe,19,running,0,1763091699.9082823,16008,1.8764065609344274,1763091978.3984332,9,52.8,5.34375,6.703125,315080704,287707136,32768,1220,0,0,0_16008
conhost.exe,5,running,0,1763091782.810048,16084,0.050444709,1763091978.3984332,9,52.8,0.015625,0.03125,8470528,1437696,32,5856,0,0,0_16084
ipf_helper.exe,4,running,1.8,1763091408.1738253,16104,0.055201342,1763091978.3984332,9,52.8,0.359375,4.328125,9269248,1806336,32,4772,0,0,0_16104
chrome.exe,23,running,0,1763091746.0394993,16180,0.5656247118577752,1763091978.3984332,9,52.8,0.5,0.484375,94978048,38494208,64,8736,0,0,0_16180
chrome.exe,26,running,0,1763091746.2866237,16268,0.4373175709067705,1763091978.3984332,9,52.8,0.0625,0.078125,73433088,28209152,32,8736,0,0,0_16268
ctfmon.exe,14,running,0,1763091417.3475237,16308,0.22053704588175546,1763091978.3984332,9,52.8,0.40625,0.84375,37031936,7872512,128,3720,0,0,0_16308
chrome.exe,13,running,0,1763091746.0166671,16320,0.29796040431873055,1763091978.3984332,9,52.8,0.03125,0.046875,50032640,18718720,32,8736,0,0,0_16320
AsusOLEDShifter.exe,3,running,0,1763091414.141246,16696,0.084594898,1763091978.3984332,9,52.8,0.03125,0.03125,14204928,1986560,32,10568,0,0,0_16696
chrome.exe,23,running,0,1763091428.4383495,16840,2.1525840228825786,1763091978.3984332,9,52.8,9.9375,12.1875,361455616,315449344,32768,8736,0,0,0_16840
msedgewebview2.exe,19,running,0,1763091413.8056743,16860,0.2513941814906948,1763091978.3984332,9,52.8,0.171875,0.15625,42213376,14528512,32,2884,0,0,0_16860
RuntimeBroker.exe,12,running,0,1763091412.5798085,16912,0.27378694867568004,1763091978.3984332,9,52.8,0.140625,0.34375,45973504,7327744,32,1572,0,0,0_16912
svchost.exe,4,running,0,1763091840.9275603,17372,0.090449216,1763091978.3984332,9,52.8,0,0.015625,15187968,1966080,32,1328,0,0,0_17372
SecurityHealthSystray.exe,1,running,0,1763091426.2711656,17452,0.082253171,1763091978.3984332,9,52.8,0,0.015625,13811712,1966080,32,4284,0,0,0_17452
msedgewebview2.exe,28,running,0,1763091474.6849303,17744,0.042077912,1763091978.3984332,9,52.8,1.546875,0.40625,7065600,123744256,64,7376,0,0,0_17744
pet.exe,1,running,0,1763091717.4429955,17964,0.046127148961663485,1763091978.3984332,9,52.8,0.078125,0.125,7745536,1716224,32,15184,0,0,0_17964
UserOOBEBroker.exe,3,running,0,1763091841.042278,17988,0.071715398,1763091978.3984332,9,52.8,0.015625,0.015625,12042240,2113536,32,1572,0,0,0_17988
ShellExperienceHost.exe,19,stopped,0,1763091533.5112853,18044,0.5606485413722229,1763091978.3984332,9,52.8,0.34375,0.1875,94142464,42586112,32,1572,0,0,0_18044
Code.exe,25,running,0,1763091700.5515597,18368,0.7329850339233348,1763091978.3984332,9,52.8,2.4375,0.953125,123080704,94584832,32,1220,0,0,0_18368
chrome.exe,19,running,0,1763091428.440879,440,0.34928326069913246,1763091981.3701744,6.3,52.7,1.84375,1.171875,58650624,23425024,32,8736,0,0,1_440
Code.exe,8,running,0,1763091719.7503743,1096,0.6573911499295774,1763091981.3701744,6.3,52.7,0.078125,0.0625,110387200,33898496,32,15184,0,0,1_1096
Code.exe,57,running,0,1763091699.6787643,1220,0.9030285851722805,1763091981.3701744,6.3,52.7,8.46875,6.9375,151633920,106205184,32,4284,17816,248,1_1220
msedgewebview2.exe,7,running,0,1763091413.4933589,1764,0.057543069,1763091981.3701744,6.3,52.7,0,0.015625,9662464,2306048,32,2884,0,0,1_1764
AsusSystemAnalysis.exe,1,running,0,1763091527.5712223,2296,0.073105799,1763091981.3701744,6.3,52.7,0.015625,0.015625,12275712,2400256,32,4344,0,0,1_2296
audiodg.exe,9,running,0,1763091928.211871,2512,0.1506755151434137,1763091981.3701744,6.3,52.7,0.140625,0.15625,25300992,20492288,32,3668,0,0,1_2512
CrossDeviceResume.exe,6,running,0,1763091410.553676,2672,0.44302553116960985,1763091981.3701744,6.3,52.7,0.15625,0.203125,74391552,35311616,32,5708,0,0,1_2672
python.exe,19,running,31.9,1763091978,2676,0.4092656294440983,1763091981.3701744,6.3,52.7,0.3125,1.21875,68722688,553594880,32,7188,0,0,1_2676
ApplicationFrameHost.exe,6,running,0,1763091839.3661828,2704,0.49237255515133654,1763091981.3701744,6.3,52.7,0.15625,0.125,82677760,57790464,32,1572,0,0,1_2704
msedgewebview2.exe,46,running,0,1763091413.2707639,2884,0.7543776884126943,1763091981.3701744,6.3,52.7,0.53125,0.484375,126672896,41377792,32,7632,0,0,1_2884
uihost.exe,63,running,0,1763091408.1797347,3572,0.1907288089535943,1763091981.3701744,6.3,52.7,0.421875,1.078125,32026624,13418496,32,1416,0,0,1_3572
Code.exe,26,running,0,1763091699.990105,3704,1.816912052040986,1763091981.3701744,6.3,52.7,18.265625,7.984375,305090560,264384512,32,1220,35360,1024,1_3704
conhost.exe,5,running,0,1763091717.8643029,3932,0.049712919,1763091981.3701744,6.3,52.7,0.015625,0,8347648,1425408,32,5856,0,0,1_3932
explorer.exe,88,running,0,1763091410.306639,4284,2.3915377781593925,1763091981.3701744,6.3,52.7,9.78125,8.046875,401580032,252764160,32,14072,0,0,1_4284
TextInputHost.exe,21,running,0,1763091422.294549,4820,0.6290464925559904,1763091981.3701744,6.3,52.7,0.875,0.6875,105627648,46673920,128,1572,0,0,1_4820
chrome.exe,7,running,0,1763091428.2118402,4920,0.057543069,1763091981.3701744,6.3,52.7,0,0.015625,9662464,2248704,32,8736,0,0,1_4920
powershell.exe,13,running,0,1763091782.8650692,5064,0.45200215243766495,1763091981.3701744,6.3,52.7,1.171875,0.265625,75898880,54505472,32,5856,0,0,1_5064
msedgewebview2.exe,8,running,0,1763091413.8252685,5452,0.13843023287014294,1763091981.3701744,6.3,52.7,0.0625,0.046875,23244800,11264000,32,2884,0,0,1_5452
conhost.exe,7,running,0,1763091976.8937373,5500,0.050786211,1763091981.3701744,6.3,52.7,0,0.03125,8527872,1536000,32,5856,0,0,1_5500
sihost.exe,12,running,0,1763091409.9413443,5708,0.31566971692907836,1763091981.3701744,6.3,52.7,1.03125,1.796875,53006336,8261632,32,2532,0,0,1_5708
Code.exe,31,running,1.1,1763091717.6651793,5856,0.8904418010029422,1763091981.3701744,6.3,52.7,0.859375,0.296875,149520384,123330560,32,1220,0,34912,1_5856
WidgetService.exe,7,running,0,1763091412.8008187,6564,0.20499870961069272,1763091981.3701744,6.3,52.7,0.203125,0.453125,34422784,5582848,32,1572,0,0,1_6564
SystemSettings.exe,43,stopped,0,1763091839,6704,0.7863569016801405,1763091981.3701744,6.3,52.7,5.203125,2.140625,132042752,112930816,32,1572,0,0,1_6704
chrome.exe,8,running,0,1763091435.9351587,6740,0.11376891737556769,1763091981.3701744,6.3,52.7,0.03125,0,19103744,7970816,32,8736,0,0,1_6740
RuntimeBroker.exe,3,running,0,1763091533.6829016,7000,0.1409427111054953,1763091981.3701744,6.3,52.7,0.0625,0.046875,23666688,3026944,32,1572,0,0,1_7000
msedgewebview2.exe,17,running,0,1763091413.8058534,7152,0.5056423431128093,1763091981.3701744,6.3,52.7,0.140625,0.171875,84905984,67055616,32768,2884,0,0,1_7152
powershell.exe,32,running,0,1763091976.9516437,7188,0.4551244554874232,1763091981.3701744,6.3,52.7,1.03125,0.34375,76423168,55652352,32,5856,0,0,1_7188
svchost.exe,2,running,0,1763091409.9726248,7224,0.04817616,1763091981.3701744,6.3,52.7,0,0.03125,8089600,1314816,32,1328,0,0,1_7224
msedgewebview2.exe,48,running,0,1763091474.4321415,7376,0.10030398547348507,1763091981.3701744,6.3,52.7,0.40625,0.625,16842752,39604224,32,7904,0,0,1_7376
SearchHost.exe,16,running,0,1763091412.327802,7632,0.9414231554872767,1763091981.3701744,6.3,52.7,0.875,1.140625,158081024,62107648,32,1572,104,72,1_7632
Widgets.exe,17,running,0,1763091412.5337243,7904,0.4349270576342993,1763091981.3701744,6.3,52.7,0.640625,0.859375,73031680,13008896,32,1572,0,0,1_7904
msedgewebview2.exe,19,running,0,1763091474.6010969,8256,0.047663907493966394,1763091981.3701744,6.3,52.7,0.0625,0.125,8003584,94638080,32768,7376,0,0,1_8256
svchost.exe,4,running,0,1763091412.582291,8428,0.18350848315102825,1763091981.3701744,6.3,52.7,0.046875,0.046875,30814208,4231168,32,1328,0,0,1_8428
chrome.exe,44,running,0,1763091427.8785343,8736,1.395718249227108,1763091981.3701744,6.3,52.7,13.75,10.765625,234364928,90648576,32,4284,0,432,1_8736
powershell.exe,12,running,0,1763091717.9143257,9116,0.4467088730486216,1763091981.3701744,6.3,52.7,1.140625,0.296875,75010048,54362112,32,5856,0,0,1_9116
CodeSetup-stable-ac4cbdf48759c7d8c3eb91ffe6bb04316e263c57.tmp,4,running,0,1763091761.090718,9528,0.28871546013233684,1763091981.3701744,6.3,52.7,13.1875,2.46875,48480256,26492928,32,11908,0,0,1_9528
OneDrive.exe,44,running,0,1763091427.8220713,9536,1.213478201690044,1763091981.3701744,6.3,52.7,1.796875,2.109375,203763712,134254592,32,4284,0,0,1_9536
AsusOSD.exe,8,running,0,1763091468.4159782,9684,0.081667739,1763091981.3701744,6.3,52.7,0.09375,0.046875,13713408,3104768,32,2584,0,0,1_9684
mc-fw-host.exe,46,running,0,1763091408.2860668,9740,0.18614292634926177,1763091981.3701744,6.3,52.7,0.0625,0.140625,31256576,9879552,32,4668,0,0,1_9740
